params,best,worst,avg,std
"{'population_size': 10, 'mutation_rate': 0.05, 'generations': 50}",1609.2,2268.6,1965.8,210.7
"{'population_size': 20, 'mutation_rate': 0.1, 'generations': 100}",1491.7,2016.3,1825.5,162.4
"{'population_size': 30, 'mutation_rate': 0.2, 'generations': 150}",1473.6,2211.0,1922.1,200.8
